gene,GW16_1,GW16_10,GW16_11,GW16_12,GW16_13,GW16_14,GW16_15,GW16_16,GW16_17,GW16_18,GW16_19,GW16_2,GW16_20,GW16_21,GW16_22,GW16_23,GW16_24,GW16_25,GW16_26,GW16_3,GW16_4,GW16_5,GW16_6,GW16_7,GW16_8,GW16_9,GW21p3_1,GW21p3_10,GW21p3_11,GW21p3_12,GW21p3_13,GW21p3_14,GW21p3_15,GW21p3_16,GW21p3_2,GW21p3_3,GW21p3_4,GW21p3_5,GW21p3_6,GW21p3_7,GW21p3_8,GW21p3_9,GW21_1,GW21_2,GW21_3,GW21_4,GW21_5,GW21_6,GW21_7,GW21_8,A1_N701_S501,A1_N701_S503,A1_N701_S505,A1_N701_S506,A1_N701_S507,A1_N701_S508,A1_N702_S501,A1_N702_S503,A1_N702_S504,A1_N702_S505,A1_N702_S506,A1_N702_S507,A1_N702_S508,A1_N703_S502,A1_N703_S503,A1_N703_S504,A1_N703_S505,A1_N703_S506,A1_N704_S501,A1_N704_S502,A1_N704_S503,A1_N704_S504,A1_N704_S505,A1_N704_S506,A1_N704_S507,A1_N705_S502,A1_N705_S503,A1_N705_S505,A1_N705_S506,A1_N705_S507,A1_N706_S502,A1_N706_S503,A1_N706_S504,A1_N706_S505,A1_N706_S506,A1_N706_S507,A1_N707_S503,A1_N707_S505,A1_N707_S506,A1_N707_S507,A1_N708_S502,A1_N708_S508,A1_N709_S501,A1_N709_S502,A1_N709_S503,A1_N709_S506,A1_N709_S507,A1_N709_S508,A1_N710_S501,A1_N710_S502,A1_N710_S504,A1_N710_S505,A1_N710_S508,A1_N711_S503,A1_N711_S504,A1_N711_S505,A1_N711_S507,A1_N711_S508,A1_N712_S501,A1_N712_S502,A1_N712_S503,A1_N712_S504,A1_N712_S505,A1_N712_S507,A1_N712_S508,A2_N701_S501,A2_N701_S502,A2_N701_S503,A2_N701_S506,A2_N701_S507,A2_N701_S508,A2_N702_S501,A2_N702_S504,A2_N702_S506,A2_N702_S507,A2_N702_S508,A2_N703_S501,A2_N703_S503,A2_N703_S506,A2_N703_S508,A2_N704_S501,A2_N704_S503,A2_N704_S506,A2_N704_S508,A2_N705_S502,A2_N705_S504,A2_N705_S505,A2_N705_S507,A2_N706_S501,A2_N706_S503,A2_N706_S504,A2_N706_S506,A2_N706_S507,A2_N706_S508,A2_N707_S501,A2_N707_S504,A2_N707_S505,A2_N707_S507,A2_N707_S508,A2_N708_S502,A2_N708_S503,A2_N708_S506,A2_N708_S508,A2_N709_S503,A2_N709_S505,A2_N709_S506,A2_N709_S507,A2_N709_S508,A2_N710_S501,A2_N710_S502,A2_N710_S503,A2_N710_S506,A2_N710_S507,A2_N710_S508,A2_N711_S501,A2_N711_S502,A2_N711_S504,A2_N711_S505,A2_N711_S507,A2_N711_S508,A2_N712_S502,A2_N712_S507,A2_N712_S508,S44.A10,S44.A11,S44.A6,S44.A8,S44.A9,S44.B6,S44.B7,S44.B8,S44.B9,S44.C9,S44.D10,S44.D5,S44.D8,S44.D9,S44.E10,S44.F10,S44.F6,S44.F9,S44.G10,S44.G5,S44.G7,S44.G8,S44.G9,S44.H5,S44.H6,S44.H9,S46.A1,S46.A10,S46.A11,S46.A12,S46.A2,S46.A4,S46.A5,S46.A6,S46.A7,S46.A8,S46.A9,S46.B1,S46.B10,S46.B11,S46.B12,S46.B2,S46.B3,S46.B4,S46.B5,S46.B7,S46.B8,S46.B9,S46.C10,S46.C11,S46.C12,S46.C3,S46.C4,S46.C5,S46.C6,S46.C7,S46.C8,S46.C9,S46.D1,S46.D10,S46.D12,S46.D2,S46.D3,S46.D4,S46.D5,S46.D6,S46.D7,S46.D8,S46.D9,S46.E1,S46.E11,S46.E12,S46.E2,S46.E3,S46.E4,S46.E7,S46.E8,S46.F1,S46.F10,S46.F11,S46.F12,S46.F2,S46.F4,S46.F5,S46.F6,S46.F7,S46.F8,S46.F9,S46.G1,S46.G11,S46.G2,S46.G4,S46.G5,S46.G6,S46.G7,S46.G9,S46.H10,S46.H2,S46.H3,S46.H5,S46.H7,S46.H8,S46.H9
LINC00115,265.3888577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.84703874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.99346789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51362242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5305801209999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.43108162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.9172621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8280331910000003,0.0,0.0,64.88247983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8143264309999999
LINC01128,0.0,0.49567799700000004,0.0,13.25524587,0.0,0.0,0.23286010899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.129377246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37978798,0.0,0.0,0.0,0.0,0.0,0.0,0.273112107,0.0,0.0,3.975701144,0.0,0.0,35.57885727,0.0,4.5295630110000005,0.0,0.0,0.0,12.340418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1478566960000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.32718688,0.0,0.0,0.0,0.0,0.0,1.060156471,0.0,0.0,0.0,0.0,0.0,0.0,1.336375391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54307122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11819102,0.0,0.0,0.0,0.0,0.0,4.3927792430000006,0.0,3.267952525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.213527962999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.99907549999999,0.0,0.0,1.980577144,0.0,0.0,0.0,0.0,0.0,0.0,1.382114113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6383301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.4668529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628599669,0.0,0.0,0.0
TP73-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510850295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113126567,0.273112107,3.1970539110000002,0.0,0.0,0.0,0.49106748,0.0,0.340298791,0.0,0.0,0.0,0.141284486,0.108249281,0.0,0.0,0.0,0.0,0.0,0.094937873,0.0,0.0,172.1276135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136754865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.821562485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.336375391,0.0,0.0,355.67116949999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305306364,0.0,0.0,0.0,0.0,1296.608287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031572177,0.0,0.0,0.0,0.0,4.936724456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116663240000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58240931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159939482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.314299691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53219819,0.0,0.0,0.0,0.0,0.0,0.0
LINC00339,0.0,0.371758497,0.0,0.0,0.0,0.125923341,0.0,0.0,0.0,51.38736543,0.0,0.0,58.31430285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145886713,0.0,37.101184100000005,0.0,196.62695469999997,0.0,0.0,0.0,0.0,0.0,1.345561613,0.0,30.86409029,73.66012207,0.0,0.0,18.11825205,0.0,0.0,0.0,0.324747842,0.0,0.0,0.0,0.0,70.12860231,0.0,0.0,0.0,0.08606380699999999,2.582367571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1888188999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18218711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67282489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0080307260000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57744027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22745924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48258065,0.0,0.0,0.0,0.0,8.713694023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70304066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.514398675,0.0,0.0,0.0
SNHG3,0.0,29.4928408,0.0,0.0,0.0,0.0,0.0,285.7398105,0.0,40.32640785,0.0,0.0,0.0,0.0,39.86068484,0.0,0.0,0.0,567.616919,0.0,0.0,120.3927895,0.0,0.0,0.0,0.0,0.0,0.6787594020000001,4.36979371,0.0,0.0,44.52785282,0.252984347,0.0,1.11183929,0.0,0.0,0.0,0.15771036900000002,0.0,0.0,6.793626811,0.0,0.0,0.11746811300000001,0.084289185,4.272204298,0.0,0.0,43.2900948,198.84230300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.30279596,27.42184086,0.0,4.136754865,0.0,0.0,0.0,0.0,0.0,0.0,14.64342437,240.9005306,0.0,0.0,0.0,0.0,0.0,0.0,157.55482030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.00374959,0.0,0.0,0.0,0.0,0.0,49.82735414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34547858,0.0,73.64593387,0.0,0.0,96.24756346,0.0,0.0,0.0,0.0,0.0,0.0,38.80835603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919269915,0.0,0.0,0.0,0.0,3.760974881,0.0,0.0,490.090172,0.0,0.0,0.0,5.2049869410000005,0.0,0.0,80.0059949,0.0,0.0,0.0,0.0,17.31801983,0.0,0.0,0.0,0.0,1.4642597480000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511102572,0.0,530.5042123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6910570559999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.145404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.640426231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346699866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82105968,0.0
SNHG12,0.0,0.123919499,0.0,0.142529526,1.5686046409999999,16.99965099,121.5529767,4.291145564,0.17282571100000002,139.4141529,0.0,0.0,113.3077456,0.0,0.136043293,0.0,0.0,0.255425147,0.0,0.0,0.0,0.0,14.94723964,0.0,0.0,0.0,24.64379883,0.113126567,62.26956036,13.64076335,12.25956136,0.0,15.43204515,0.0,0.0,0.0,0.0,0.100285913,2.681076274,0.0,1.407240649,0.0,0.033035909,7.4028952839999995,0.0,0.0,0.949378733,0.0,0.0,1.0327656809999999,0.0,0.0,63.21886313,41.52380066,158.60342759999997,0.0,0.0,0.0,0.0,8.877316909,54.15382578,0.0,0.0,0.0,0.0,0.0,0.0,78.53828015,0.0,4.230107562,0.0,0.0,0.0,0.0,19.12400871,0.0,0.0,0.0,0.0,0.0,45.62510048,0.0,0.0,165.78711930000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.334279743,0.0,0.0,0.0,0.0,4.0470547869999995,0.0,0.0,0.0,38.00907636,0.0,3.116513107,66.19859828,2.1503014680000003,0.0,0.0,1.48091235,0.0,0.0,0.0,0.0,38.8314924,0.0,0.0,42.77669487,1.53563243,0.0,0.0,0.0,0.0,0.0,3.234029669,181.2127245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90165488,212.3909372,0.0,0.0,0.0,0.0,27.73959117,0.0,0.0,0.0,0.0,0.0,0.0,3.3860077489999996,0.0,0.0,118.9760638,0.0,0.0,0.0,0.0,142.2696431,28.94330931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98751188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03672153,0.8600402659999999,0.0,8.395231142,0.0,0.0,0.0,0.0,0.0,0.0,70.8056329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23036968,0.0,0.0,0.0,5.033147044,0.0,0.0,6.3925021310000005,0.49618754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88382458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3362464519999997,0.0,0.0,0.472566848,0.0,0.0,0.0,23.98684708,0.0,0.0,0.0,89.69788219,0.0,0.0,0.0,0.0,0.0,0.0,2.8280331910000003,0.0,0.0,0.0,0.0,0.0,14.55593217,0.0,145.1573776,0.0,0.0,177.0357526,0.0,612.3534755,0.0,0.0,0.8143264309999999
HHLA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0214995989999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049285565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6219041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.30933490000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.53890441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.56271176,0.0,0.0,0.0,0.0,0.0,0.0,123.77357479999999,0.0,0.0,0.0
TTLL7-IT1,0.187289243,0.0,0.0,0.0,0.0,0.0,0.0,0.252420327,0.0,0.0,0.204594655,0.0,0.0,0.0,0.136043293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87459757,0.0,0.0,0.213136927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.922150587000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5742524880000002,0.0,0.0,0.0,0.76482421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.4884636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.641628782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234181114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.467879116,0.0,0.0,1.132994937,0.0,0.0,0.0,257.8693634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650084175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.76141600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76997451,0.0,0.0
MIR137HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.062164642,0.0,0.273112107,5.754697039,100.9171209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.01288056,0.0,6.929499347,0.0,0.302158991,0.0,0.0,0.094937873,110.35413,217.51818450000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084363322,0.0,0.0,0.0,321.6863119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.894291445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0268474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.30679518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0642345,328.2628734,0.0,156.4196268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095097664,0.0,912.0158144999999,0.0,180.83172340000002,0.0
SLC16A1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136043293,0.0,0.0,0.0,0.0,0.0,135.0910961,0.0,0.0,0.169482272,0.0,0.169189122,0.0,0.113126567,0.0,89.5175095,0.149506846,3.379345973,1.51790608,0.24553374,0.833879467,3.062689116,0.0,0.0,0.15771036900000002,0.0,0.0,0.135872536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3042380739999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37607588,0.0,8.196003733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.594019900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.464248071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.934570144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.89751729999999,0.0,0.0,0.0,0.0,2.928519495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511102572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543917789,0.0,1.037909873,0.95299689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731856948,11.34971232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280388915,1.0769613279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767713125,0.0,0.0,0.0,0.0,1.886087885,0.0,91.64701836,0.0,0.0,0.0,2.8280331910000003,276.7606899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55075354,18.93933402,0.0
