Type	Symbol	Name	ID	URL	Locus type	status
gene	A1BG-AS1	A1BG antisense RNA 1	HGNC:37133	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37133	RNA, long non-coding	Approved
gene	A2M-AS1	A2M antisense RNA 1	HGNC:27057	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27057	RNA, long non-coding	Approved
gene	A2ML1-AS1	A2ML1 antisense RNA 1	HGNC:41022	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41022	RNA, long non-coding	Approved
gene	A2ML1-AS2	A2ML1 antisense RNA 2	HGNC:41523	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41523	RNA, long non-coding	Approved
gene	AADACL2-AS1	AADACL2 antisense RNA 1	HGNC:50301	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50301	RNA, long non-coding	Approved
gene	AATBC	apoptosis associated transcript in bladder cancer	HGNC:51526	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:51526	RNA, long non-coding	Approved
gene	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	HGNC:49667	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:49667	RNA, long non-coding	Approved
gene	ABCA9-AS1	ABCA9 antisense RNA 1	HGNC:39983	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:39983	RNA, long non-coding	Approved
gene	ABCC5-AS1	ABCC5 antisense RNA 1	HGNC:40055	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40055	RNA, long non-coding	Approved
gene	ABCF1-DT	ABCF1 divergent transcript	HGNC:53628	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:53628	RNA, long non-coding	Approved
gene	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	HGNC:18289	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18289	RNA, long non-coding	Approved
gene	ABHD15-AS1	ABHD15 antisense RNA 1	HGNC:49685	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:49685	RNA, long non-coding	Approved
gene	ABR-AS1	ABR antisense RNA 1	HGNC:55674	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55674	RNA, long non-coding	Approved
gene	ACAP2-IT1	ACAP2 intronic transcript 1	HGNC:41426	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41426	RNA, long non-coding	Approved
gene	ACBD3-AS1	ACBD3 antisense RNA 1	HGNC:40701	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40701	RNA, long non-coding	Approved
gene	ACOXL-AS1	ACOXL antisense RNA 1	HGNC:41112	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41112	RNA, long non-coding	Approved
gene	ACSL3-AS1	ACSL3 antisense RNA 1	HGNC:40227	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40227	RNA, long non-coding	Approved
gene	ACSL6-AS1	ACSL6 antisense RNA 1	HGNC:40772	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40772	RNA, long non-coding	Approved
gene	ACTA2-AS1	ACTA2 antisense RNA 1	HGNC:45169	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:45169	RNA, long non-coding	Approved
gene	ACTN1-DT	ACTN1 divergent transcript	HGNC:20131	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20131	RNA, long non-coding	Approved
gene	ACTR3-AS1	ACTR3 antisense RNA 1	HGNC:53965	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:53965	RNA, long non-coding	Approved
gene	ACVR2B-AS1	ACVR2B antisense RNA 1	HGNC:44161	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44161	RNA, long non-coding	Approved
gene	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	HGNC:40625	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40625	RNA, long non-coding	Approved
gene	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	HGNC:42435	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42435	RNA, long non-coding	Approved
gene	ADAMTS16-DT	ADAMTS16 divergent transcript	HGNC:55548	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55548	RNA, long non-coding	Approved
gene	ADAMTS19-AS1	ADAMTS19 antisense RNA 1	HGNC:40797	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40797	RNA, long non-coding	Approved
gene	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	HGNC:32041	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32041	RNA, long non-coding	Approved
gene	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	HGNC:40895	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40895	RNA, long non-coding	Approved
