lncRNA,mRNA
MALAT1 ,A2M
MALAT1 ,AARS
MALAT1 ,ABCA1
MALAT1 ,ABL2
MALAT1 ,ACACA
MALAT1 ,ACADVL
MALAT1 ,ACLY
MALAT1 ,ACO2
MALAT1 ,ACP1
MALAT1 ,ACP2
MALAT1 ,ACTA2
MALAT1 ,ACVR1B
MALAT1 ,ACVRL1
MALAT1 ,ADCY6
MALAT1 ,ADD3
MALAT1 ,ADORA2A
MALAT1 ,PARP1
MALAT1 ,ADRA1B
MALAT1 ,GRK2
MALAT1 ,AP2A1
MALAT1 ,AP2A2
MALAT1 ,AP2B1
MALAT1 ,AGA
MALAT1 ,AGL
MALAT1 ,AGT
MALAT1 ,NR0B1
MALAT1 ,AHR
MALAT1 ,AKT1
MALAT1 ,AKT2
MALAT1 ,ALAS1
MALAT1 ,AMHR2
MALAT1 ,AMPD1
MALAT1 ,AMPD3
MALAT1 ,AMPH
MALAT1 ,AMY1A
MALAT1 ,AMY2B
MALAT1 ,ANGPT1
MALAT1 ,ANPEP
MALAT1 ,ANXA6
MALAT1 ,AOC2
MALAT1 ,NUDT2
MALAT1 ,APBB1
MALAT1 ,APEH
MALAT1 ,BIRC2
MALAT1 ,BIRC5
MALAT1 ,APOC1
MALAT1 ,FAS
MALAT1 ,AQP3
MALAT1 ,AREG
MALAT1 ,ARF6
MALAT1 ,ARG2
MALAT1 ,RND3
MALAT1 ,ARHGAP1
MALAT1 ,ARHGAP5
MALAT1 ,ARNTL
MALAT1 ,ARRB1
MALAT1 ,ARRB2
MALAT1 ,ARSA
MALAT1 ,ASAH1
MALAT1 ,ASL
MALAT1 ,ATF3
MALAT1 ,ATF4
MALAT1 ,ATIC
MALAT1 ,ATM
MALAT1 ,ATP2A1
MALAT1 ,ATP5F1D
MALAT1 ,ATP6V1B2
MALAT1 ,ATP6V1C1
MALAT1 ,ATP7A
MALAT1 ,ATRX
MALAT1 ,AUH
MALAT1 ,BAG1
MALAT1 ,ADGRB2
MALAT1 ,BARD1
MALAT1 ,BCAT1
MALAT1 ,BCAT2
MALAT1 ,BCKDHB
MALAT1 ,BCL2L1
MALAT1 ,BCL3
MALAT1 ,BCL6
MALAT1 ,BDKRB2
MALAT1 ,PRDM1
MALAT1 ,BLM
MALAT1 ,BLVRA
MALAT1 ,BNC1
MALAT1 ,BMI1
MALAT1 ,BMP4
MALAT1 ,BNIP2
MALAT1 ,BTF3
MALAT1 ,BTG1
MALAT1 ,BUB1
MALAT1 ,BUB1B
MALAT1 ,TSPO
MALAT1 ,C3AR1
MALAT1 ,OSGIN2
MALAT1 ,TMEM50B
MALAT1 ,CACNA1A
MALAT1 ,CACNA1C
MALAT1 ,CACNA2D1
MALAT1 ,CACNB1
MALAT1 ,CALM1
MALAT1 ,CALM3
MALAT1 ,CAPN1
MALAT1 ,CAPN3
MALAT1 ,CASP4
MALAT1 ,CBLB
MALAT1 ,CBS
MALAT1 ,KRIT1
MALAT1 ,CCNA2
MALAT1 ,CCNB1
MALAT1 ,CCNF
MALAT1 ,CCNG1
MALAT1 ,CCNG2
MALAT1 ,CCNT1
MALAT1 ,CCNT2
MALAT1 ,CD22
MALAT1 ,CD36
MALAT1 ,CD68
MALAT1 ,CD79A
MALAT1 ,LRBA
MALAT1 ,CDC5L
MALAT1 ,CDC6
MALAT1 ,CDC20
MALAT1 ,CDC25A
MALAT1 ,CDC25B
MALAT1 ,CDH4
MALAT1 ,CDH6
MALAT1 ,CDK5
MALAT1 ,CDK9
MALAT1 ,CDKN1A
MALAT1 ,CDKN2A
MALAT1 ,CDKN2C
MALAT1 ,CDKN3
MALAT1 ,CEBPB
MALAT1 ,CEBPG
MALAT1 ,CEL
MALAT1 ,CENPE
MALAT1 ,RCBTB2
MALAT1 ,RCC1
MALAT1 ,CHD2
MALAT1 ,CHKA
MALAT1 ,CHM
MALAT1 ,CHN1
MALAT1 ,LYST
MALAT1 ,CHRNA5
MALAT1 ,CKB
MALAT1 ,CKMT2
MALAT1 ,CKS1B
MALAT1 ,CLCN6
MALAT1 ,CLN5
MALAT1 ,ABCC2
MALAT1 ,CNN1
MALAT1 ,CNN2
MALAT1 ,COL3A1
MALAT1 ,COL5A1
MALAT1 ,COL11A1
MALAT1 ,SLC31A2
MALAT1 ,COX10
MALAT1 ,COX15
MALAT1 ,CLDN4
MALAT1 ,CPS1
MALAT1 ,CREBL2
MALAT1 ,CRY1
MALAT1 ,CRYAB
MALAT1 ,CRYM
MALAT1 ,CRYZ
MALAT1 ,SLC25A10
MALAT1 ,CTH
MALAT1 ,CYB5A
MALAT1 ,CYLD
MALAT1 ,CYP4A11
MALAT1 ,CYP27B1
MALAT1 ,DAB1
MALAT1 ,CD55
MALAT1 ,DGKA
MALAT1 ,DARS
MALAT1 ,DBI
MALAT1 ,DCC
MALAT1 ,DDB2
MALAT1 ,AKR1C1
MALAT1 ,AKR1C2
MALAT1 ,GADD45A
MALAT1 ,DDIT3
MALAT1 ,DMXL1
MALAT1 ,DHX9
MALAT1 ,DDX10
MALAT1 ,DECR1
MALAT1 ,DHCR7
MALAT1 ,DHCR24
MALAT1 ,DMD
MALAT1 ,DNM1
MALAT1 ,DNAH5
MALAT1 ,DNMT1
MALAT1 ,DPYD
MALAT1 ,DPYSL2
MALAT1 ,DPYSL3
MALAT1 ,TSC22D3
MALAT1 ,DSP
MALAT1 ,DUT
MALAT1 ,DVL3
MALAT1 ,DYRK1A
MALAT1 ,ECH1
MALAT1 ,S1PR1
MALAT1 ,LPAR1
MALAT1 ,S1PR3
MALAT1 ,EFNA4
MALAT1 ,EFNA5
MALAT1 ,MEGF8
MALAT1 ,MEGF9
MALAT1 ,EIF4A2
MALAT1 ,EIF5
MALAT1 ,EP300
MALAT1 ,EPB41L2
MALAT1 ,EPHB2
MALAT1 ,EPHB4
MALAT1 ,ERBB2
MALAT1 ,ERCC2
MALAT1 ,ERCC3
MALAT1 ,ERN1
MALAT1 ,ETFDH
MALAT1 ,ETS2
MALAT1 ,EVI2A
MALAT1 ,EVI2B
MALAT1 ,EXT1
MALAT1 ,EZH1
MALAT1 ,EZH2
MALAT1 ,F3
MALAT1 ,F11
MALAT1 ,FABP4
MALAT1 ,FABP3
MALAT1 ,FANCA
MALAT1 ,FANCD2
MALAT1 ,FAH
MALAT1 ,BPTF
MALAT1 ,FANCB
MALAT1 ,FANCG
MALAT1 ,FARSA
MALAT1 ,FASN
MALAT1 ,FBN2
MALAT1 ,FKTN
MALAT1 ,FEN1
MALAT1 ,FGF1
MALAT1 ,FGF2
MALAT1 ,FGF9
MALAT1 ,FHL1
MALAT1 ,FHL3
MALAT1 ,VEGFD
MALAT1 ,FKBP1A
MALAT1 ,FKBP1B
MALAT1 ,FKBP4
MALAT1 ,FOXD4
MALAT1 ,FOXM1
MALAT1 ,FLII
MALAT1 ,FLNA
MALAT1 ,FLT3LG
MALAT1 ,FMR1
MALAT1 ,FNTA
MALAT1 ,FNTB
MALAT1 ,FOLR3
MALAT1 ,FPGS
MALAT1 ,CENPI
MALAT1 ,FTH1
MALAT1 ,FTH1
MALAT1 ,FTL
MALAT1 ,FTL
MALAT1 ,KDSR
MALAT1 ,FZD2
MALAT1 ,G6PD
MALAT1 ,GAA
MALAT1 ,B4GALNT1
MALAT1 ,GALK2
MALAT1 ,GALNT2
MALAT1 ,GALT
MALAT1 ,GANC
MALAT1 ,GAS6
MALAT1 ,GBA
MALAT1 ,GBA
MALAT1 ,GBP2
MALAT1 ,GCDH
MALAT1 ,KAT2A
MALAT1 ,GDF9
MALAT1 ,GEM
MALAT1 ,GFPT1
MALAT1 ,GFRA1
MALAT1 ,GGT7
MALAT1 ,GK
MALAT1 ,GCLC
MALAT1 ,GLE1
MALAT1 ,GLO1
MALAT1 ,GM2A
