from_lncRNA,to_mRNA
7SK,MYC
7SK,HEXIM1
7SK,CDK9
7SK,HMGA1
7SL,MnSOD
BACE1-AS,BACE1
BC200,PABPC1
BC200,FMR1
BCAR4,PNUTS
BCAR4,SNIP1
CCAT2,hsa-mir-20a/106b
CCAT2,hsa-miR-146a-3p
CCAT2,hsa-mir-17/20b/93/51
CCAT2,MYC
CCAT2,VIM
CCAT2,MIR17HG
CCAT2,p16INK4A
CCAT2,BAX
CCAT2,CDC25A
CDKN2B-AS1,p16INK4A
CDKN2B-AS1,p15INK4B
EMX2OS,EMX2
GAS5,hsa-miR-18a-3p
GHET1,IGF2BP1
GHET1,MYC
h19,hsa-miR-106a-3p
h19,miR-675
h19,ISM1
h19,HNRNPU
h19,INS
h19,TP53
h19,E2F1
HOTAIR,hsa-mir-124
HOTAIR,hsa-mir-331-3p
HOTAIR,HER2
hsa-let-7c,NR4A2
hsa-let-7g-5p,LIN28B
hsa-miR-126-5p,DNMT1
hsa-mir-1303,claudin-18
hsa-miR-130b-3p,CXCL12
hsa-miR-133a1,HLA-G
hsa-miR-136-3p,CXCL12
hsa-mir-137,FMNL2
hsa-miR-145-3p,FSCN1
hsa-mir-148a,ROCK1
hsa-mir-150,CXCL12
hsa-mir-153,SNCA
hsa-miR-155-3p,hsa-miR-455-3p
hsa-miR-155-3p,PHC2
hsa-miR-155-3p,CHAF1A
hsa-miR-155-3p,VAMP3
hsa-miR-155-3p,TSHZ3
hsa-miR-155-3p,ZNF652
hsa-miR-155-3p,ATP6V1C1
hsa-miR-155-3p,BACH1
hsa-miR-155-3p,RAB34
hsa-miR-155-3p,JARID2
hsa-miR-155-3p,TRIP13
hsa-miR-155-3p,FOS
hsa-miR-155-3p,ARFIP1
hsa-miR-155-3p,CEBPB
hsa-miR-155-3p,DET1
hsa-miR-155-3p,AGTRAP
hsa-miR-155-3p,RCN2
hsa-miR-155-3p,ANKFY1
hsa-miR-155-3p,SMAD5
hsa-miR-155-3p,DHX40
hsa-miR-155-3p,TCF4
hsa-miR-155-3p,TRIM32
hsa-mir-15a/15b/16/1,CCNE1
hsa-mir-17/20b/93/51,CXCL12
hsa-mir-181a/181b/18,REN
hsa-mir-181a/181b/18,AIFM1
hsa-miR-195-3p,CXCL12
hsa-miR-195-3p,CCNE1
hsa-mir-19a/19b,STAT3
hsa-mir-19a/19b,IL6
hsa-mir-19a/19b,SOCS3
hsa-mir-19a/19b,IFN-盲录陋
hsa-mir-19b-1-5p,DKK3
hsa-miR-200b-5p,CXCL12
hsa-mir-200c-3p,CXCL12
hsa-miR-205-5p,AR
hsa-miR-205-5p,NR4A2
hsa-miR-205-5p,EGR1
hsa-miR-205-5p,NR4A1
hsa-miR-205-5p,EPCAM
hsa-miR-205-5p,CCL20
hsa-miR-205-5p,C1orf116
hsa-miR-205-5p,FGFBP1
hsa-miR-205-5p,CDH1
hsa-miR-205-5p,IL8
hsa-miR-205-5p,EDN1
hsa-miR-205-5p,FOSB
hsa-miR-205-5p,JUNB
hsa-mir-21-3p,CXCL12
hsa-miR-221-3p,CDKN1C
hsa-miR-221-3p,p27(Kip1)
hsa-mir-222,CXCL12
hsa-mir-222,CDKN1C
hsa-mir-222,p27(Kip1)
hsa-mir-223-3p,ABCB1
hsa-miR-23a-3p,CXCL12
hsa-mir-28-3p,NM23
hsa-mir-28-3p,HOXB3
hsa-mir-30a/30b/30c/,LynmRNA
hsa-mir-30a/30b/30c/,LYN
hsa-mir-3134,VEGFA
hsa-mir-3134,EGFR
hsa-mir-3134,SOX9
hsa-mir-324-3p,CXCL12
hsa-mir-325,CXCL12
hsa-mir-331-3p,CXCL12
hsa-mir-331-3p,HER2
hsa-miR-335-3p,MMP?2
hsa-miR-335-3p,BCL2L2-PABPN1
hsa-miR-34b-3p,GRP78
hsa-miR-34b-3p,Smad3
hsa-mir-492,MAP3K1
hsa-mir-492,MMP10
hsa-mir-492,VEGFA
hsa-mir-492,BRAF
hsa-mir-492,PITPNA
hsa-mir-492,SP1
hsa-mir-492,DUSP
hsa-mir-492,PRKCA
hsa-mir-492,PDPK1
hsa-mir-492,MCL1
hsa-mir-492,eNOS
hsa-mir-494-3p,CXCR4
hsa-miR-517-5p,CXCL12
hsa-miR-551b-5p,CXCL12
hsa-mir-564,CXCL12
hsa-mir-578,CXCL12
hsa-mir-581-5p,CXCL12
hsa-mir-602,CXCL12
hsa-mir-663a,APOE
hsa-mir-663a,REN
hsa-miR-7-2-3p,SNCA
hsa-mir-92a-1-5p,DKK3
hsa-miR-96-5p,ALK
hTR,TERT
hTR,HNRNPA1
HULC,CNOT1
hY1,hnRNPI
hY1,HNRNPK
hY3,hnRNPI
hY3,HNRNPK
linc-MD1,ELAV1
linc-MD1,hsa-miR-133a1
linc-MD1,hsa-miR-135a1
lincRNA-p21,HNRNPK
lincRNA-p21,HIF-1盲录陋
lincRNA-p21,VHL
Llme23,Rab23
Llme23,PSF
lncRNA-GAS5,1TMW_A
lncRNA-GAS5,AAF22034.1
lncRNA-GAS5,ANXA2
MALAT1,hsa-mir-101-1
MALAT1,hsa-mir-124
MALAT1,hsa-miR-145-3p
MALAT-1,hnRNPC
MEG3,TP53
Microrna-124,FLOT1
microRNA-16,Bmi1
microRNA-31,SATB2
MicroRNA-99,NMT1
MicroRNA-99,TMEM30A
MicroRNA-99,SMARCA5
MicroRNA-99,HOXA1
MicroRNA-99,Mtor
MicroRNA-99,CTDSPL
miR-133a,CXCL12
miR-135,CXCL12
miR-135a,CXCL12
miR-156,ZFP36
miR-157,JARID2
miR-158,BACH1
miR-181a,CXCL12
miR-181a*,CXCL12
miR-181b,CXCL12
MiR-185,VEGFA
MiR-200a,WNT5A
miR-216,CXCL12
miR-222a,CXCL12
miR-500,CXCL12
MiR-9,MMP2
NEAT1_2,FUS
NEAT1_2,TDP-43
NeST,Wdr5
OIP5-AS1,hsa-mir-137
OIP5-AS1,hsa-mir-448
OIP5-AS1,hsa-mir-186-3p
PTENP1,PTEN
RP11-166D19.1,hsa-miR-106a-3p
NONHSAG050539,ELAVL1
AC083843.1,ELAVL1
CASC7,ELAVL1
NONHSAG051650,ELAVL1
NONHSAG051813,ELAVL1
LOC100506710,ELAVL1
NONHSAG052186,ELAVL1
NONHSAG035911,ELAVL1
RP11-2B6.3,ELAVL1
NONHSAG053057,ELAVL1
NONHSAG053377,ELAVL1
TUG1,ELAVL1
NONHSAG053890,ELAVL1
MT-RNR2,ELAVL1
NONHSAG053894,ELAVL1
NONHSAG053895,ELAVL1
NONHSAG053896,ELAVL1
NONHSAG053897,ELAVL1
XIST,ELAVL1
JPX,ELAVL1
Ftx,ELAVL1
NONHSAG054826,ELAVL1
RP6-24A23.7,ELAVL1
hsa-mir-6723,ELAVL1
NONHSAG000329,ELAVL1
NONHSAG000442,ELAVL1
RP5-1057J7.6,ELAVL1
NONHSAG000701,ELAVL1
SFPQ,ELAVL1
RP1-39G22.7,ELAVL1
LOC100130557,ELAVL1
NONHSAG001935,ELAVL1
RP5-1014C4.3,ELAVL1
RP4-714D9.5,ELAVL1
RPI001_1003913,ELAVL1
NONHSAG002759,ELAVL1
NONHSAG002891,ELAVL1
NONHSAG003394,ELAVL1
GAS5,ELAVL1
RC3H1-IT1,ELAVL1
NONHSAG003821,ELAVL1
MIR181A1HG,ELAVL1
NONHSAG048962,ELAVL1
NONHSAG004391,ELAVL1
RPI001_1005473,ELAVL1
NONHSAG004615,ELAVL1
NONHSAG033712,ELAVL1
NONHSAG010542,ELAVL1
NONHSAG004866,ELAVL1
NONHSAG004977,ELAVL1
NONHSAG028816,ELAVL1
ZNF271,ELAVL1
RP11-390B4.5,ELAVL1
NONHSAG005343,ELAVL1
